Weeks,Suscept,Infect,Inf_Ratio
0,20,30000,NA
1,18,30102,0.9
2,16.25508,30205.74492,0.90306
3,14.729904,30311.01502,0.906172348
4,13.39435024,30417.62067,0.90933045
5,12.22272794,30525.39794,0.91252862
6,11.19310903,30634.20483,0.915761938
7,10.28675984,30743.91807,0.919026145
8,9.487659053,30854.43041,0.922317542
9,8.78208948,30965.64832,0.925632912
10,8.158292831,31077.49003,0.92896945
11,7.606177922,31189.88385,0.932324701
12,7.117074178,31302.76678,0.935696515
13,6.683523394,31416.08325,0.939083003
14,6.299103821,31529.78415,0.942482498
15,5.958281514,31643.82587,0.945893524
16,5.656284681,31758.16958,0.949314776
17,5.388997443,31872.78058,0.952745087
18,5.152869992,31987.62771,0.956183418
19,4.944842609,32102.68287,0.959628831
20,4.762281424,32217.92059,0.963080486
21,4.602924142,32333.31767,0.966537618
22,4.464834255,32448.85283,0.96999953
23,4.346362489,32564.50647,0.973465585
24,4.246114482,32680.26036,0.976935194
25,4.162923803,32796.09743,0.980407811
26,4.09582964,32912.0016,0.983882923
27,4.04405855,33027.95754,0.987360048
28,4.007009822,33143.95053,0.990838726
29,3.98424406,33259.96629,0.994318516
30,3.975474694,33375.99081,0.997798989
31,3.980562206,33492.01025,1.001279724
32,3.999510907,33608.01074,1.004760308
33,4.032468165,33723.97827,1.008240322
34,4.079726064,33839.89855,1.011719348
35,4.141725483,33955.75682,1.015196956
36,4.2190627,34071.53776,1.018672705
37,4.312498622,34187.22526,1.022146133
38,4.422970855,34302.80229,1.025616758
39,4.551608843,34418.25068,1.029084069
40,4.699752425,34533.55093,1.03254752
41,4.868974192,34648.68195,1.036006528
42,5.061106146,34763.62085,1.039460459
43,5.278271254,34878.34258,1.042908625
44,5.522920591,34992.81966,1.046350277
45,5.797876926,35107.02178,1.04978459
46,6.106385746,35220.91539,1.053210653
47,6.452174871,35334.46322,1.056627462
48,6.83952407,35447.62369,1.060033897
49,7.273346265,35560.35035,1.063428711
50,7.759282241,35672.59107,1.06681051
51,8.303811071,35784.28726,1.070177732
52,8.91437882,35895.37288,1.073528618
53,9.599548551,36005.77333,1.076861186
54,10.36917508,36115.40415,1.0801732
55,11.23460846,36224.16954,1.083462125
56,12.20893085,36331.96061,1.086725086
57,13.30723184,36438.65338,1.089958818
58,14.54692825,36544.10645,1.093159601
59,15.94813484,36648.15832,1.096323194
60,17.53409311,36750.62423,1.09944475
61,19.33166601,36851.29256,1.102518727
62,21.3719064,36949.92065,1.105538777
63,23.69070737,37046.22995,1.10849762
64,26.32954178,37139.9004,1.111386898
65,29.33629678,37230.56411,1.114197012
66,32.76620634,37317.7979,1.116916923
67,36.68287999,37401.11502,1.119533937
68,41.15941841,37479.9556,1.122033451
69,46.27959524,37553.67601,1.124398668
70,52.13906776,37621.53694,1.12661028
71,58.84655591,37682.69038,1.128646108
72,66.5248964,37736.16549,1.130480711
73,75.31183498,37780.85365,1.132084965
74,85.36036247,37815.49329,1.13342561
75,96.83832643,37838.65496,1.134464799
76,109.9269606,37848.728,1.135159649
77,124.817869,37843.91013,1.13546184
78,141.7078865,37822.20225,1.135317304
79,160.7911303,37781.41112,1.134666067
80,182.2474739,37719.16364,1.133442333
81,206.2266688,37632.93697,1.131574909
82,232.8274569,37520.10952,1.128988109
83,262.0713504,37378.03817,1.125603286
84,293.8713881,37204.16678,1.121341145
85,327.9972041,36996.16957,1.116125003
86,364.0392054,36752.13037,1.109885087
87,401.3764901,36470.75388,1.102563911
88,439.1550955,36151.59878,1.094122616
89,476.2847645,35795.31402,1.084547963
90,511.4628812,35403.85114,1.073859421
91,543.2326713,34980.61847,1.062115534
92,570.0784444,34530.54002,1.049418554
93,590.5534962,34059.98653,1.035916201
94,603.4273237,33576.5592,1.021799596
95,607.8303977,33088.7288,1.007296776
96,603.3700557,32605.35875,0.992661864
97,590.1929137,32135.16583,0.978160762
98,568.9784147,31686.18742,0.964054975
99,540.8627006,31265.32472,0.950585623
100,507.3074389,30878.01728,0.937959742
101,469.9394359,30528.07784,0.926340518
102,430.3904305,30217.68741,0.915842335
103,390.1621048,29947.52531,0.906530622
104,350.5316853,29716.99362,0.898425759
105,312.5024357,29524.49119,0.891509809
106,276.7942623,29367.69693,0.885734736
107,243.8643001,29243.83263,0.881030908
108,213.9458033,29149.88682,0.877314979
109,187.0948786,29082.79194,0.874496605
110,163.2372428,29039.5547,0.872483758
111,142.2101053,29017.3446,0.871186641
112,123.7967889,29013.54781,0.870520338
113,107.7535216,29025.79429,0.870406434
114,93.82894653,29051.96534,0.870773829
115,81.77745907,29090.18788,0.87155896
116,71.36764946,29138.82023,0.872705636
117,62.38707324,29196.43316,0.874164607
118,54.64440041,29261.78876,0.875892995
119,47.96978705,29333.81897,0.877853663
120,42.21411148,29411.60486,0.880014569
121,37.24754299,29494.35732,0.882348146
122,32.95777026,29581.39955,0.884830719
123,29.24810911,29672.15144,0.887441986
124,26.03562968,29766.11581,0.890164543
125,23.24938704,29862.86642,0.892983474
126,20.82880019,29962.03762,0.895885993
127,18.72219884,30063.31542,0.898861129
128,16.88554108,30166.42988,0.901899463
129,15.28129472,30271.14858,0.904992896
130,13.8774703,30377.27111,0.908134458
131,12.64679033,30484.62432,0.911318133
132,11.56597956,30593.05834,0.91453873
133,10.61516062,30702.44318,0.91779175
134,9.777340979,30812.66584,0.921073296
135,9.037978212,30923.62786,0.924379975
136,8.384612247,31035.24325,0.927708836
137,7.806554419,31147.4367,0.931057298
138,7.294624788,31260.14207,0.934423101
139,6.840930217,31373.30114,0.937804262
140,6.438676914,31486.86247,0.941199034
141,6.082012034,31600.78045,0.944605874
142,5.76588981,31715.01456,0.948023414
143,5.485958379,31829.52861,0.951450437
144,5.238464075,31944.29014,0.954885858
145,5.020170489,32059.26997,0.958328704
146,4.82829003,32174.44168,0.961778099
147,4.66042608,32289.78125,0.96523325
148,4.51452416,32405.26673,0.968693438
149,4.388830787,32520.8779,0.972158002
150,4.281858905,32636.59604,0.975626337
151,4.192358981,32752.40368,0.979097881
152,4.119295012,32868.28439,0.98257211
153,4.061824798,32984.22256,0.986048532
154,4.019283994,33100.20328,0.989526677
155,3.991173517,33216.2121,0.993006098
156,3.977149983,33332.23495,0.996486363
157,3.97701893,33448.25794,0.999967049
158,3.99073065,33564.26721,1.003447738
159,4.018378496,33680.24883,1.006928016
160,4.060199629,33796.18863,1.010407465
161,4.116578176,33912.07205,1.013885659
162,4.188050871,34027.884,1.017362161
163,4.275315276,34143.60868,1.02083652
164,4.379240754,34259.22944,1.02430826
165,4.500882413,34374.72856,1.027776883
166,4.641498337,34490.08706,1.031241857
167,4.802570452,34605.28449,1.034702612
168,4.985829503,34720.29866,1.038158535
169,5.193284683,34835.10538,1.04160896
170,5.427258575,34949.67812,1.045053161
171,5.690428208,35063.98769,1.048490344
172,5.985873139,35178.00182,1.051919631
173,6.317131685,35291.68469,1.055340055
174,6.688266586,35404.99642,1.058750541
175,7.103941636,35517.89248,1.062149893
176,7.569511056,35630.32297,1.065536774
177,8.091123708,35742.23184,1.068909689
178,8.675844583,35853.556,1.072266955
179,9.331796388,35964.2242,1.07560668
180,10.06832452,36074.15588,1.078926726
181,10.89618925,36183.25969,1.082224676
182,11.82778936,36291.4319,1.085497791
183,12.87742236,36398.55448,1.088742957
184,14.06158678,36504.49289,1.091956634
185,15.39933283,36609.09356,1.095134787
186,16.91266849,36712.18089,1.098272807
187,18.62702835,36813.55386,1.101365427
188,20.57181334,36912.98205,1.104406616
189,22.7810093,37010.20104,1.107389461
190,25.29389202,37104.90714,1.110306031
191,28.15582544,37196.75132,1.113147214
192,31.41915711,37285.33216,1.11590254
193,35.14421127,37370.18795,1.118559965
194,39.40037342,37450.78758,1.121105639
195,44.26725046,37526.52033,1.123523627
196,49.83587623,37596.68445,1.12579561
197,56.20991138,37660.47454,1.127900534
198,63.5067581,37716.96778,1.129814236
199,71.85847047,37765.10931,1.131509033
200,81.41228977,37803.69702,1.132953279
201,92.33056608,37831.36645,1.134110911
202,104.7897444,37846.57671,1.134940994
203,118.977993,37847.59872,1.135397301
204,135.0909401,37832.50778,1.135427962
205,153.3248712,37799.18291,1.134975233
206,173.8666455,37745.31626,1.133975487
207,196.8795457,37668.43671,1.132359488
208,222.4843412,37565.95237,1.130053101
209,250.735085,37435.21729,1.126978571
210,281.5896717,37273.62762,1.123056519
211,314.8760569,37078.75156,1.118208829
212,350.2563325,36848.49523,1.112362547
213,387.1925639,36581.30266,1.105454857
214,424.9202511,36276.38241,1.09743908
215,462.4370857,35933.94533,1.088291472
216,498.5156687,35555.42966,1.07801836
217,531.7481637,35143.68149,1.06666289
218,560.627643,34703.05385,1.054310445
219,583.6647386,34239.38911,1.041091616
220,599.5297229,33759.85939,1.027181673
221,607.2011743,33272.65822,1.012795782
222,606.0959143,32786.5623,0.998179746
223,596.1540436,32310.40826,0.983596869
224,577.859416,31852.54884,0.969312248
225,552.1888581,31420.35998,0.955576465
226,520.4991811,31019.8608,0.9426108
227,484.3743643,30655.48644,0.930595824
228,445.4619527,30330.02449,0.919664593
229,405.326158,30044.69833,0.909900735
230,365.3370642,29799.36126,0.90134095
231,326.6043348,29592.75693,0.893980838
232,289.9536807,29422.80325,0.887782708
233,255.937503,29286.86574,0.882684097
234,224.8682187,29181.99753,0.878605972
235,196.863114,29105.13441,0.875459926
236,171.8918218,29053.24259,0.873154032
237,149.820444,29023.42215,0.871597278
238,130.4490597,29012.97309,0.870702664
239,113.5414518,29019.43163,0.870389193
240,98.84725193,29040.58438,0.870582949
241,86.11745882,29074.46692,0.871217531
242,75.11457624,29119.35235,0.872234008
243,65.61863436,29173.73371,0.87358057
244,57.43021696,29236.3035,0.875212011
245,50.37141759,29305.93208,0.877089105
246,44.28544028,29381.64664,0.879177962
247,39.03537473,29462.61126,0.881449399
248,34.50252213,29548.10874,0.883878338
249,30.58452827,29637.52421,0.886443262
250,27.19349092,29730.33072,0.889125726
251,24.25414436,29826.07658,0.891909922
252,21.70217901,29924.3744,0.894782297
253,19.4827239,30024.89168,0.897731232
254,17.54900024,30127.34267,0.90074675
255,15.86114231,30231.48153,0.90382028
256,14.38517493,30337.09636,0.906944446
257,13.09213314,30444.00422,0.910112891
258,11.95730869,30552.04692,0.913320127
259,10.95960769,30661.08731,0.916561407
260,10.08100464,30771.0063,0.919832619
261,9.306079724,30881.70022,0.923130189
262,8.621626929,30993.0786,0.926451007
263,8.016322831,31105.06227,0.929792358
264,7.480446626,31217.58183,0.933151868
265,7.00564364,31330.57618,0.936527455
266,6.584725553,31443.99146,0.939917286
267,6.211501621,31557.77996,0.943319744
268,5.880636041,31671.89932,0.946733399
269,5.587527379,31786.31179,0.95015698
270,5.328206623,31900.98359,0.953589354
271,5.09925096,32015.88434,0.957029508
272,4.897710868,32130.98662,0.96047653
273,4.721048472,32246.26558,0.963929599
274,4.567085485,32361.69849,0.967387967
275,4.433959303,32477.26453,0.970850955
276,4.320086077,32592.94445,0.974317936
277,4.224129765,32708.72032,0.977788333
278,4.144976372,32824.57534,0.981261609
279,4.081712676,32940.49363,0.98473726
280,4.033608911,33056.46002,0.988214809
281,4.000104951,33172.45991,0.991693801
282,3.980799634,33288.47911,0.995173797
283,3.975442964,33404.50367,0.998654373
284,3.983930973,33520.51974,1.00213511
285,4.006303104,33636.51344,1.005615592
286,4.042742046,33752.47069,1.009095403
287,4.093575973,33868.37712,1.012574121
288,4.159283244,33984.21783,1.016051314
289,4.240499634,34099.97734,1.019526535
290,4.338028243,34215.63931,1.02299932
291,4.45285229,34331.18645,1.026469179
292,4.586151066,34446.6003,1.029935594
293,4.739319381,34561.86098,1.033398009
294,4.913990929,34676.94699,1.03685583
295,5.112066089,34791.83493,1.04030841
296,5.335744785,34906.49918,1.043755048
297,5.587565129,35020.91162,1.047194975
298,5.870448736,35135.04117,1.050627349
299,6.187753741,35248.85341,1.054051235
300,6.543336737,35362.31008,1.057465602